pattern_number,title,description
1,大学生活の違和感,なんで大学の授業って出席取るの？自分で勉強した方が効率良くない？
2,大学生活の違和感,サークルとか部活入ってない自分って、大学生活損してる？
3,大学生活の違和感,単位のためだけに授業取るのって、時間の無駄じゃない？
4,大学生活の違和感,みんな「充実してる」って言うけど、充実って何？
5,大学生活の違和感,図書館で勉強してる人たち、家じゃダメなの？
6,人間関係のモヤモヤ,友達って何人いたら普通なの？
7,人間関係のモヤモヤ,グループLINE既読スルーしちゃうのって、性格悪い？
8,人間関係のモヤモヤ,「今度ご飯行こう」って社交辞令、なんで言うんだろう？
9,人間関係のモヤモヤ,SNSの友達と現実の友達、どっちが本当の友達？
10,人間関係のモヤモヤ,一人でいる方が楽なのに、寂しいって感じるのはなんで？
11,人間関係のモヤモヤ,バイト仲間と大学の友達、温度差あるのは自分だけ？
12,将来への不安と疑問,就活って結局、演技力勝負じゃない？
13,将来への不安と疑問,やりたいことがない自分は、ダメ人間？
14,将来への不安と疑問,大学で学んだこと、社会で使うの？
15,将来への不安と疑問,親の期待と自分のやりたいこと、どっち優先すべき？
16,将来への不安と疑問,安定と挑戦、今の時代どっちが正解？
17,将来への不安と疑問,大学院行く意味って、本当にある？
18,自分についての問い,なんで夜中になると急に人生について考え始めるんだろう
19,自分についての問い,他人と比べるのやめたいのに、やめられないのはなぜ？
20,自分についての問い,「自分らしさ」って言うけど、自分らしさって何？
21,自分についての問い,頑張ってるのに結果出ない時、何が間違ってる？
22,自分についての問い,本当の自分って、どの場面の自分なの？
23,自分についての問い,成長してるのか停滞してるのか、どうやって分かる？
24,勉強と学びの疑問,テスト前だけ勉強する自分、これでいいの？
25,勉強と学びの疑問,興味ない必修科目、どうモチベーション保てばいい？
26,勉強と学びの疑問,GPAって社会出て意味ある？必死になる価値ある？
27,勉強と学びの疑問,レポートのコピペ、みんなどこまでやってる？
28,勉強と学びの疑問,授業中スマホ見ちゃうのって、集中力の問題？それとも授業の問題？
29,お金と生活,バイト漬けの生活、これって本末転倒？
30,お金と生活,奨学金借りてまで大学行く意味、本当にある？
31,お金と生活,友達との金銭感覚の差、どう付き合えばいい？
32,お金と生活,実家暮らしと一人暮らし、どっちが成長する？
33,お金と生活,お金ないのに飲み会断れない、これって変？
34,恋愛と友情,恋人いない自分、何か問題ある？
35,恋愛と友情,アプリで関係始まるのは、もう普通？
36,恋愛と友情,友達の恋人、正直微妙だと思った時どうする？
37,恋愛と友情,告白して友達関係壊れるの怖い、でも後悔もしたくない
38,恋愛と友情,付き合うって何？一緒にいるだけじゃダメ？
39,家族との関係,親に大学生活のこと話す？話さない？
40,家族との関係,実家帰りたくないって思うの、親不孝？
41,家族との関係,親の老後とか考えると、自由に生きていいのか不安
42,家族との関係,きょうだいと比較されるの、いつまで続くの？
43,社会への素朴な疑問,なんでみんな満員電車我慢できるの？
44,社会への素朴な疑問,ブラック企業なくならないのって、結局誰のせい？
45,社会への素朴な疑問,SDGsとか言ってるけど、企業って本気なの？
46,社会への素朴な疑問,政治に興味ないって言ったらダメな空気、なんで？
47,社会への素朴な疑問,大人って楽しそうに見えないけど、大人になりたい？
48,時間の使い方,1日24時間、みんなどう使ってるの？
49,時間の使い方,YouTube見てたら3時間経ってた、これヤバい？
50,時間の使い方,朝型になりたいのに、なれない理由って何？
51,時間の使い方,忙しいアピールする人って、本当に忙しいの？
52,時間の使い方,「時間がない」って言い訳？それとも事実？
53,メンタルと健康,みんなどうやってストレス解消してる？
54,メンタルと健康,カウンセリング行くのって、弱い証拠？
55,メンタルと健康,完璧主義やめたいけど、やめ方が分からない
56,メンタルと健康,他人の目気にしすぎる自分、どうしたら変われる？
57,メンタルと健康,「大丈夫」って言っちゃうのはなぜ？
58,価値観の揺らぎ,努力は必ず報われるって、嘘じゃない？
59,価値観の揺らぎ,個性的であれって言うけど、普通じゃダメなの？
60,価値観の揺らぎ,競争社会に疲れた、でも降りる勇気もない
61,価値観の揺らぎ,「若いうちは苦労しろ」って、なんで？
62,価値観の揺らぎ,幸せの基準、誰が決めてるの？
63,大学という場所,大学って学ぶ場所？それとも就職予備校？
64,大学という場所,研究室選び、これで人生決まるって本当？
65,大学という場所,オンライン授業の方が良いのに、なぜ対面に戻した？
66,大学という場所,学食高くない？もっと安くできるでしょ
67,大学という場所,キャンパスにいる時間、減ってるのは自分だけ？
68,コミュニケーション,LINEの返信速度で関係性測るのって、疲れない？
69,コミュニケーション,「空気読む」って、結局誰に合わせるの？
70,コミュニケーション,本音言える相手、何人いる？
71,コミュニケーション,愚痴言うのって悪いこと？でも言わないとしんどい
72,コミュニケーション,「相談」と「ただ聞いてほしい」の違い、伝わらないのなぜ？
73,アイデンティティ,地元の友達と大学の自分、キャラ違いすぎて混乱
74,アイデンティティ,「意識高い」って言われるの、褒め言葉？悪口？
75,アイデンティティ,趣味がない自分って、つまらない人間？
76,アイデンティティ,人に説明できる特技がない、これってヤバい？
77,アイデンティティ,「普通の大学生」って、どんな人のこと？
78,日常の中の哲学,毎日同じことの繰り返し、これが人生？
79,日常の中の哲学,楽しいことしてる時ほど時間早いの、なんか損じゃない？
80,日常の中の哲学,「今を生きる」って言うけど、将来考えないとダメでしょ？
81,日常の中の哲学,後悔しない生き方って、本当に可能？
82,日常の中の哲学,永遠に続くものとかないのに、なんで頑張れるの？
83,ちょっとした違和感,インスタのストーリー、誰に向けて上げてるの？
84,ちょっとした違和感,「いいね」もらって嬉しいけど、なんか虚しいのはなぜ？
85,ちょっとした違和感,バイト先の「お客様は神様」文化、おかしくない？
86,ちょっとした違和感,就活の茶番に付き合う意味、本当にある？
87,ちょっとした違和感,みんな忙しいフリしてない？本当は暇では？
88,素直な感情,正直、大学つまらないって言っちゃダメ？
89,素直な感情,友達の成功、素直に喜べない自分が嫌
90,素直な感情,「頑張れ」って言われるとプレッシャーになる
91,素直な感情,休学したい衝動、みんなないの？
92,素直な感情,このまま卒業していいのか、急に不安になる
93,世代の疑問,Z世代って言われるけど、ピンとこない
94,世代の疑問,上の世代の「昔は良かった」、聞き飽きた
95,世代の疑問,SNSない時代の方が幸せだったんじゃない？
96,世代の疑問,環境問題、自分たちの世代だけに押し付けないで
97,世代の疑問,「最近の若者」って言われる筋合いある？
98,答えのない問い,何のために頑張るのか、たまに分からなくなる
99,答えのない問い,「普通」になりたいけど「特別」にもなりたい、矛盾してる？
100,答えのない問い,自由って言われても、何していいか分からない
